Product,Created_at,UF,Unit,volume,year_month
GASOLINA C (m3),2001,ACRE,m3,3037.472,2001-01-01
GASOLINA C (m3),2001,AMAZONAS,m3,18643.204,2001-01-01
GASOLINA C (m3),2001,RORAIMA,m3,2971.827,2001-01-01
GASOLINA C (m3),2001,PARÁ,m3,24540.269,2001-01-01
GASOLINA C (m3),2001,AMAPÁ,m3,3481.1,2001-01-01
GASOLINA C (m3),2001,TOCANTINS,m3,7403.849,2001-01-01
GASOLINA C (m3),2001,MARANHÃO,m3,17435.787,2001-01-01
GASOLINA C (m3),2001,PIAUÍ,m3,10840.166,2001-01-01
GASOLINA C (m3),2001,CEARÁ,m3,38692.247,2001-01-01
GASOLINA C (m3),2001,RIO GRANDE DO NORTE,m3,19274.629,2001-01-01
GASOLINA C (m3),2001,PARAÍBA,m3,18375.675,2001-01-01
GASOLINA C (m3),2001,PERNAMBUCO,m3,49183.421,2001-01-01
GASOLINA C (m3),2001,ALAGOAS,m3,14303.186,2001-01-01
GASOLINA C (m3),2001,SERGIPE,m3,12643.994,2001-01-01
GASOLINA C (m3),2001,BAHIA,m3,80308.769,2001-01-01
GASOLINA C (m3),2001,MINAS GERAIS,m3,187015.655,2001-01-01
GASOLINA C (m3),2001,ESPÍRITO SANTO,m3,37494.66,2001-01-01
GASOLINA C (m3),2001,RIO DE JANEIRO,m3,156642.228,2001-01-01
GASOLINA C (m3),2001,SÃO PAULO,m3,598960.313,2001-01-01
GASOLINA C (m3),2001,PARANÁ,m3,122255.509,2001-01-01
GASOLINA C (m3),2001,SANTA CATARINA,m3,99466.62,2001-01-01
GASOLINA C (m3),2001,RIO GRANDE DO SUL,m3,157843.893,2001-01-01
GASOLINA C (m3),2001,MATO GROSSO DO SUL,m3,22855.9,2001-01-01
GASOLINA C (m3),2001,MATO GROSSO,m3,32030.24,2001-01-01
GASOLINA C (m3),2001,GOIÁS,m3,55777.853,2001-01-01
GASOLINA C (m3),2001,DISTRITO FEDERAL,m3,43521.369,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,RONDÔNIA,m3,60.6,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,ACRE,m3,4.777,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,AMAZONAS,m3,90.883,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,RORAIMA,m3,62.5,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,PARÁ,m3,391.337,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,AMAPÁ,m3,9.675,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,TOCANTINS,m3,94.0,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,MARANHÃO,m3,64.994,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,PIAUÍ,m3,57.237,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,CEARÁ,m3,43.971,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,RIO GRANDE DO NORTE,m3,18.068,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,PARAÍBA,m3,16.393,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,PERNAMBUCO,m3,356.478,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,ALAGOAS,m3,0.552,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,SERGIPE,m3,10.0,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,BAHIA,m3,154.612,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,MINAS GERAIS,m3,273.815,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,ESPÍRITO SANTO,m3,7.323,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,RIO DE JANEIRO,m3,158.469,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,SÃO PAULO,m3,2982.649,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,PARANÁ,m3,200.791,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,SANTA CATARINA,m3,61.438,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,RIO GRANDE DO SUL,m3,1378.497,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,MATO GROSSO DO SUL,m3,390.564,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,MATO GROSSO,m3,945.793,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,GOIÁS,m3,178.387,2001-01-01
GASOLINA DE AVIAÇÃO (m3),2001,DISTRITO FEDERAL,m3,55.188,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,RONDÔNIA,m3,5.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,ACRE,m3,0.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,AMAZONAS,m3,346.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,RORAIMA,m3,0.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,PARÁ,m3,267.2,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,AMAPÁ,m3,0.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,TOCANTINS,m3,0.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,MARANHÃO,m3,646.1,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,PIAUÍ,m3,228.893,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,CEARÁ,m3,315.208,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,RIO GRANDE DO NORTE,m3,80.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,PARAÍBA,m3,10.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,PERNAMBUCO,m3,299.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,ALAGOAS,m3,0.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,SERGIPE,m3,0.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,BAHIA,m3,221.348,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,MINAS GERAIS,m3,2071.331,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,ESPÍRITO SANTO,m3,995.689,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,RIO DE JANEIRO,m3,1370.516,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,SÃO PAULO,m3,6570.85,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,PARANÁ,m3,712.183,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,SANTA CATARINA,m3,497.202,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,RIO GRANDE DO SUL,m3,1514.403,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,MATO GROSSO DO SUL,m3,37.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,MATO GROSSO,m3,301.8,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,GOIÁS,m3,110.0,2001-01-01
QUEROSENE ILUMINANTE (m3),2001,DISTRITO FEDERAL,m3,15.8,2001-01-01
QUEROSENE DE AVIAÇÃO (m3),2001,RONDÔNIA,m3,1998.838,2001-01-01
QUEROSENE DE AVIAÇÃO (m3),2001,ACRE,m3,1528.01,2001-01-01
QUEROSENE DE AVIAÇÃO (m3),2001,AMAZONAS,m3,10220.041,2001-01-01
QUEROSENE DE AVIAÇÃO (m3),2001,RORAIMA,m3,224.018,2001-01-01
QUEROSENE DE AVIAÇÃO (m3),2001,PARÁ,m3,8395.161,2001-01-01
QUEROSENE DE AVIAÇÃO (m3),2001,AMAPÁ,m3,429.696,2001-01-01
QUEROSENE DE AVIAÇÃO (m3),2001,TOCANTINS,m3,746.948,2001-01-01
QUEROSENE DE AVIAÇÃO (m3),2001,MARANHÃO,m3,2787.081,2001-01-01
QUEROSENE DE AVIAÇÃO (m3),2001,PIAUÍ,m3,1349.731,2001-01-01
